address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"5711 La Seyne Pl,","6,920",5,,5,1999,San Jose,2,0.27,592,Single Family Home,9,9,9,29-Jun-18,4100000,CA,95138
"5701 Calmor Ave Apt 2,",903,1,,2,1970,San Jose,,"8,052",559,Condo/Townhome/Row Home/Co-Op,4,6,5,17-Oct-18,505000,CA,95123
"5698 Keymar Dr,","1,195",2,,3,1965,San Jose,45,"6,305",780,Single Family Home,NR,8,2,3-Aug-18,932000,CA,95123
"5689 Makati Cir Apt G,",690,1,,1,1985,San Jose,39,924,696,Condo/Townhome/Row Home/Co-Op,5,7,5,30-Jul-18,480000,CA,95123
"5673 Holland Ln,","1,252",2,,4,1960,San Jose,66,"6,000",719,Single Family Home,9,8,8,15-Jun-18,900000,CA,95118
"5653 Judith St,","1,797",3,,3,1964,San Jose,65,"6,510",551,Single Family Home,3,8,6,10-Sep-18,990000,CA,95123
"5629 Playa Del Rey Ct Apt 1,",810,1,,2,1970,San Jose,35,"9,900",667,Condo/Townhome/Row Home/Co-Op,4,6,NR,3-Jul-18,540000,CA,95123
"5622 Snowdon Pl,","3,429",4,,4,1996,San Jose,,0.25,611,Single Family Home,9,9,8,29-Oct-18,2093500,CA,95138
"5617 Playa del Rey Apt 3,",903,1,,2,1970,San Jose,,"8,925",556,Condo/Townhome/Row Home/Co-Op,4,6,5,7-Aug-18,502500,CA,95123
"5604 Silver Leaf Rd,","2,149",3,,5,1978,San Jose,129,"7,313",442,Single Family Home,,,,26-Jun-18,950000,CA,95138
"5592 Le Fevre Dr,","1,874",2,1,3,1994,San Jose,36,"3,037",752,Single Family Home,9,8,8,13-Jul-18,1410000,CA,95118
"5585 Cornell Dr,","1,189",2,,3,1959,San Jose,55,"6,300","1,304",Single Family Home,8,8,8,20-Jun-18,1550000,CA,95118
"5568 Snowdon Pl,","3,107",3,1,4,1996,San Jose,66,"8,540",644,Single Family Home,9,9,8,29-Jun-18,2000000,CA,95138
"556 Quail Bush Ct,","1,117",2,1,2,1985,San Jose,50,600,900,Condo/Townhome/Row Home/Co-Op,6,5,5,15-Jun-18,1005000,CA,95117
"5559 Spinnaker Dr Apt 2,",903,1,,2,1970,San Jose,56,"1,750",526,Condo/Townhome/Row Home/Co-Op,3,8,5,27-Jun-18,475000,CA,95123
"5551 Yale Dr,","1,189",2,,3,1959,San Jose,43,"6,300",892,Single Family Home,8,8,8,22-Jun-18,1060000,CA,95118
"5550 Spinnaker Dr Apt 2,",903,1,,2,1970,San Jose,43,"1,750",543,Condo/Townhome/Row Home/Co-Op,3,8,5,19-Jul-18,490000,CA,95123
"555 Umbarger Rd Spc 17,","3,049",2,,3,2000,San Jose,251,,65,Mfd/Mobile Home,6,6,6,17-Jul-18,197000,CA,95111
"5544 Morningside Dr,","3,429",4,,4,1996,San Jose,63,"6,600",6,Single Family Home,9,9,8,18-Jun-18,21500,CA,95138
"553 Shadow Dance Dr,",871,2,,2,1987,San Jose,,"1,081",769,Condo/Townhome/Row Home/Co-Op,8,6,6,25-Sep-18,670000,CA,95110
"552 Bradley Ave,","1,460",1,,2,1945,San Jose,1,"5,250",634,Single Family Home,4,5,6,28-Aug-18,925000,CA,95128
"5512 Blossom Terrace Ct,","1,550",3,,4,1960,San Jose,62,"6,715","1,012",Single Family Home,10,8,9,20-Aug-18,1568000,CA,95124
"5511 Yale Dr,","1,185",2,,3,1958,San Jose,,"5,670",975,Single Family Home,8,8,8,19-Sep-18,1155000,CA,95118
"5510 Makati Cir # 246,",924,1,,2,1985,San Jose,34,924,601,Condo/Townhome/Row Home/Co-Op,5,7,8,17-Oct-18,555000,CA,95123
"5507 Cribari Bnd,","1,240",2,,2,1969,San Jose,63,"1,664",393,Condo/Townhome/Row Home/Co-Op,6,9,10,27-Jul-18,487000,CA,95135
"5505 Sunspring Cir,","1,371",2,1,3,1989,San Jose,40,"3,400",633,Single Family Home,6,7,9,12-Jul-18,868000,CA,95138
"550 Mt Home Dr,","1,440",2,,3,1974,San Jose,43,,181,Mfd/Mobile Home,7,NR,NR,19-Sep-18,260000,CA,95136
"550 Halsey Ave,","1,486",2,,3,1947,San Jose,57,"6,300",834,Single Family Home,4,5,6,16-Aug-18,1240000,CA,95128
"5497 Tyhurst Walkway Apt 2,",903,1,,2,1970,San Jose,99,"1,750",526,Condo/Townhome/Row Home/Co-Op,4,8,9,19-Jul-18,475000,CA,95123
"5497 Spinnaker Walkway Apt 2,",903,1,,2,1970,San Jose,111,"1,750",520,Condo/Townhome/Row Home/Co-Op,3,8,9,7-Aug-18,469999,CA,95123
"5494 Chesbro Ave,","1,531",2,,3,1977,San Jose,69,"6,960",647,Single Family Home,6,8,NR,26-Jun-18,990000,CA,95123
"5492 Judith St Apt 2,",903,1,,2,1970,San Jose,77,"1,750",526,Condo/Townhome/Row Home/Co-Op,4,8,8,14-Sep-18,475000,CA,95123
"5491 Tyhurst Walkway Apt 1,",810,1,,2,1970,San Jose,56,,506,Condo/Townhome/Row Home/Co-Op,4,8,8,5-Sep-18,410000,CA,95123
"5487 Judith St Apt 2,",903,1,,2,1970,San Jose,27,"1,750",576,Condo/Townhome/Row Home/Co-Op,4,8,9,13-Jun-18,520000,CA,95123
"5480 Don Diablo Ct,",950,1,1,2,1970,San Jose,32,760,568,Condo/Townhome/Row Home/Co-Op,4,8,5,3-Oct-18,540000,CA,95123
"5477 Leigh Ave,","1,471",1,1,3,1958,San Jose,20,"6,380",857,Single Family Home,10,8,9,23-Aug-18,1260000,CA,95124
"5473 Tyhurst Walkway Apt 4,",798,1,,2,1970,San Jose,,"1,750",593,Condo/Townhome/Row Home/Co-Op,4,8,8,6-Aug-18,473000,CA,95123
"5452 Colony Field Dr,",942,1,,2,1984,San Jose,40,435,669,Condo/Townhome/Row Home/Co-Op,4,8,NR,30-Jul-18,630000,CA,95123
"5450 Monterey Rd,","1,520",2,,2,1975,San Jose,154,,135,Mfd/Mobile Home,3,4,9,15-Jun-18,205000,CA,95111
"5450 Monterey Hwy Spc 61,","1,355",2,,3,2001,San Jose,95,,155,Mfd/Mobile Home,3,4,9,29-Jun-18,210000,CA,95111
"545 Brooks Ave,","1,020",1,,2,1918,San Jose,49,"5,120",745,Single Family Home,7,6,6,26-Sep-18,760000,CA,95125
"544 Troy Dr,","2,996",,,,1960,San Jose,,"6,540",567,Multi-Family Home,6,5,6,10-Aug-18,1700000,CA,95117
"5426 Alum Rock Ave,","1,143",1,,2,1908,San Jose,64,0.66,"1,003",Single Family Home,5,4,NR,11-Sep-18,1146000,CA,95127
"542 Altino Blvd,","1,250",1,1,1,2004,San Jose,92,"1,502",559,Condo/Townhome/Row Home/Co-Op,7,NR,NR,20-Sep-18,699000,CA,95136
"5416 Clovercrest Dr,","1,220",2,,3,1961,San Jose,49,"7,056",947,Single Family Home,4,6,8,31-Jul-18,1155000,CA,95118
"5397 Elrose Ave,","1,628",2,,4,1968,San Jose,38,"6,000",805,Single Family Home,8,8,9,17-Sep-18,1310000,CA,95124
